"artifactName","annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements_per_artifact.cypher"
"axon-messaging-4.9.3","jakarta.persistence.Lob","Field",7,"org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.diagnostics,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.payload,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry.token,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.token",""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation.MessageHandler","Annotation",6,"org.axonframework.commandhandling.CommandHandler,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.EventHandler,org.axonframework.eventhandling.ResetHandler,org.axonframework.messaging.interceptors.MessageHandlerInterceptor,org.axonframework.queryhandling.QueryHandler",""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation.HasHandlerAttributes","Annotation",5,"org.axonframework.eventhandling.AllowReplay,org.axonframework.lifecycle.ShutdownHandler,org.axonframework.lifecycle.StartHandler,org.axonframework.messaging.annotation.MessageHandler,org.axonframework.messaging.interceptors.ResultHandler",""
"axon-messaging-4.9.3","java.lang.SafeVarargs","Constructor",4,"org.axonframework.commandhandling.gateway.NonTransientExceptionClassesPredicate.<init>,org.axonframework.messaging.unitofwork.BatchingUnitOfWork.<init>,org.axonframework.monitoring.MultiMessageMonitor.<init>,org.axonframework.serialization.upcasting.GenericUpcasterChain.<init>",""
"axon-messaging-4.9.3","javax.persistence.MappedSuperclass","Class",4,"org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry",""
"axon-messaging-4.9.3","jakarta.persistence.Id","Field",4,"org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.deadLetterId,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.processorName,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.segment",""
"axon-messaging-4.9.3","javax.persistence.Id","Field",4,"org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.deadLetterId,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.processorName,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry.segment",""
"axon-messaging-4.9.3","com.fasterxml.jackson.annotation.JsonTypeInfo","Field",4,"org.axonframework.eventhandling.MultiSourceTrackingToken.trackingTokens,org.axonframework.eventhandling.ReplayToken.tokenAtReset,org.axonframework.eventhandling.ReplayToken.currentToken,org.axonframework.eventhandling.ReplayToken.context",""
"axon-messaging-4.9.3","java.lang.Deprecated","Field",3,"org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder.SERIALIZED_DEADLINE_MESSAGE,org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder.SERIALIZED_DEADLINE_MESSAGE_CLASS_NAME,org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder.EVENT_KEY",""
"axon-messaging-4.9.3","jakarta.persistence.MappedSuperclass","Class",3,"org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry",""
"axon-messaging-4.9.3","com.fasterxml.jackson.annotation.JsonIgnore","Method",3,"org.axonframework.eventhandling.MergedTrackingToken.isLowerSegmentAdvanced,org.axonframework.eventhandling.MergedTrackingToken.isUpperSegmentAdvanced,org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerScheduleToken.getTaskName",""
"axon-messaging-4.9.3","com.fasterxml.jackson.annotation.JsonTypeInfo","Interface",2,"org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.eventhandling.scheduling.ScheduleToken",""
"axon-messaging-4.9.3","java.lang.annotation.Inherited","Annotation",2,"org.axonframework.common.Priority,org.axonframework.serialization.Revision",""
"axon-messaging-4.9.3","java.lang.Deprecated","Interface",2,"org.axonframework.common.legacyjpa.EntityManagerProvider,org.axonframework.eventhandling.deadletter.legacyjpa.DeadLetterJpaConverter",""
"axon-messaging-4.9.3","com.fasterxml.jackson.annotation.JsonTypeInfo","Method",2,"org.axonframework.eventhandling.MergedTrackingToken.lowerSegmentToken,org.axonframework.eventhandling.MergedTrackingToken.upperSegmentToken",""
"axon-messaging-4.9.3","jakarta.persistence.Entity","Class",2,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"axon-messaging-4.9.3","javax.persistence.Entity","Class",2,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"axon-messaging-4.9.3","jakarta.persistence.GeneratedValue","Field",1,"org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex",""
"axon-messaging-4.9.3","javax.persistence.GeneratedValue","Field",1,"org.axonframework.eventhandling.AbstractSequencedDomainEventEntry.globalIndex",""
"axon-messaging-4.9.3","org.axonframework.eventhandling.AllowReplay","Annotation",1,"org.axonframework.eventhandling.DisallowReplay",""
"axon-messaging-4.9.3","javax.annotation.Nullable","Method",1,"org.axonframework.eventhandling.ReplayToken.context",""
"axon-messaging-4.9.3","jakarta.persistence.Table","Class",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry",""
"axon-messaging-4.9.3","javax.persistence.Table","Class",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry",""
