"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: Overview/Effective_lines_of_method_code_per_package.cypher"
"axon-messaging-4.10.0","org.axonframework.serialization.xml",83,60,51,6,"XStreamSerializer","doDeserialize",4,"InputStreamToXomConverter","convert","xml",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.inmemory",81,38,26,9,"InMemoryEventStorageEngine","createTokenAt",4,"InMemoryEventStorageEngine$MapEntrySpliterator","tryAdvance","inmemory",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.conflictresolution",78,52,42,7,"DefaultConflictResolver","detectConflicts",4,"DefaultConflictResolver","detectConflicts","conflictresolution",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.java",78,38,30,9,"SimpleEventScheduler$PublishEventTask","run",4,"SimpleEventScheduler","cancelSchedule","java",""
"axon-messaging-4.10.0","org.axonframework.common.annotation",77,47,23,12,"AnnotationUtils","findAnnotationAttributes",8,"AnnotationUtils","collectAttributes","annotation",""
"axon-messaging-4.10.0","org.axonframework.queryhandling.annotation",76,38,26,12,"MethodQueryMessageHandlerDefinition$MethodQueryMessageHandlingMember","<init>",5,"MethodQueryMessageHandlerDefinition$MethodQueryMessageHandlingMember","canHandle","annotation",""
"axon-spring-boot-autoconfigure-4.10.0","org.axonframework.springboot.util",72,31,22,23,"AbstractQualifiedBeanCondition","getMatchOutcome",4,"AbstractQualifiedBeanCondition","getMatchOutcome","util",""
"axon-messaging-4.10.0","org.axonframework.common.property",71,40,24,11,"AbstractMethodPropertyAccessStrategy","propertyFor",5,"MethodAccessedProperty","getValue","property",""
"axon-messaging-4.10.0","org.axonframework.lifecycle",70,40,25,7,"ShutdownLatch","initiateShutdown",4,"ShutdownLatch$ActivityHandle","end","lifecycle",""
"axon-messaging-4.10.0","org.axonframework.messaging.interceptors",67,30,21,14,"JSR303ViolationException","convert",4,"JSR303ViolationException","convert","interceptors",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.replay",61,41,33,6,"ReplayAwareMessageHandlerWrapper","wrapHandler",3,"GenericResetContext","asResetContext","replay",""
"axon-messaging-4.10.0","org.axonframework.commandhandling.callbacks",60,27,16,9,"FutureCallback","awaitCompletion",4,"FutureCallback","getResult","callbacks",""
